0000000	Kucinich: Reclaiming the money power
0000001	Trump Just Woke Up & Viciously Attacked Puerto Ricans On Twitter Like A Cruel Old Man
0000002	Liberals wailing about gun control, but what about abortion?
0000003	Laremy Tunsil joins NFL players in kneeling during national anthem
0000004	It's 1968 All Over Again
0000005	Gold Price in December 2017 - Myriads of Signals and Analogies
0000006	Conservatives & Trump Can Still Stop the Worst of Obamacare
0000007	Don't Fall for Jimmy Kimmel's Cheap Zero-Sum Emotionalism
0000008	Tell Us, Mr. Bannon -- Just What Is Trumpism?
0000009	THEY DON’T CALL IT ‘THE GREAT TWEET OF CHINA’
0000010	Racist Scare: The New McCarthyism
0000011	‘Access Hollywood’ to Trump: The tape is ‘very real’
0000012	ESPN accepted 'SportsCenter' anchor Jemele Hill's apology for her anti-Trump tweets
0000013	Trump Decertified the Iranian Deal, Just 'Cause
0000014	Ivana Trump said Donald once abandoned Donald Jr. on a tarmac because he was 5 minutes late for a flight
0000015	Trump said it would be a 'very sad day' for North Korea if the US had to use force
0000016	The State Department said there's less urgency to release Clinton's emails due to low interest
0000017	‘Serial misconduct and perversion’: Trump accusers describe incidents ‘a thousand times worse than what Franken has done’
0000018	Democrats Are Working Hard to Destroy Their Party
0000019	TIME FOR A CHANGE. The Energy Report 01/02/18
0000020	Far-right leaders have double standards for immigrants
0000021	Tear Down White Supremacy, Start w/Planned Parenthood
0000022	Here’s your leftover turkey: The case for Hillary Clinton 2020
0000023	Shannon Sharpe goes after NFL owners’ hypocrisy over “unity”
0000024	Trump: FBI Ruined Flynn, Let Clinton Go Free
0000025	9 Famous Criminals Who Were Murdered in Prison
0000026	A Grain Of Saul: Stopping Sexual Assault Is Not A Partisan Issue Or A Women's Issue. It's Up To All Of Us.
0000027	Trump Right On China The First Time
0000028	Trump's Media Furore... US Democracy On Thin Ice
0000029	Trump's threats against North Korea signify real danger of war
0000030	When the Parades Are Over, Who Stands With Unions?
0000031	Chappaqua's Hillary Clinton Lets 'Guard Down,' Will Reveal 'What Happened'
0000032	Goodell sends letter to NFL owners regarding kneeling during anthem
0000033	Donald Trump labels NFL player "son of a bitch"
0000034	Harvey Weinstein became a major player in Democratic politics — here's the wide net of people he has given money to
0000035	McMaster: Potential for War With North Korea Grows Daily
0000036	CNN Attacks Roy Moore Just Because He Shared My BarbWire Piece
0000037	Here's How the Ruling Class USES the Left
0000038	Channel 4 documentary My Week As A Muslim sparks row over 'brownfacing'
0000039	Metal Man
0000040	Vegas Survivor Proves FBI Lying Scum! Wow!
0000041	Thanks Trump: Birther Joe Arpaio is back
0000042	Steve Bannon’s big problem isn’t Breitbart. It’s Trump
0000043	Trump’s anti-Muslim tweets: Pathological racism or severe mental decline?
0000044	Republicans approve 36-year-old judicial nominee who has never tried a case
0000045	Republican Student Group At SDSU Demands Muslim Student Association Condemn Barcelona Attacks
0000046	Let America Be America Again - Poem by Langston Hughes
0000047	WATCH: Alex Jones convulses in demonic rant against ‘evil’ Joe Scarborough and Mika Brzezinski
0000048	Tom Arnold: Clinton begged me to release tape of Trump’s racist rant
0000049	Nelly Arrested On Rape Charges: Report
0000050	Obama: Men need to get over their sexism and elect Clinton
0000051	Pitts: President finally gets what he deserves
0000052	Hillary Clinton’s niece is voting for Donald Trump
0000053	If you don’t believe the media has lost their minds, watch this and think again…
0000054	Video from Brazil: Muslim migrants throw homemade bomb at anti-Migration Law protesters
0000055	Ex-UVA dean’s lawyer blasts Rolling Stone editor’s ‘reckless’ rape story
0000056	Georgia teacher in custody after report of shots at school
0000057	A Nixonian end to the 2016 sleaze sweepstakes?
0000058	Kellyanne Conway says White House “doesn’t care” about Clinton, but Trump certainly does
0000059	Don’t buy Harry Reid’s smear of FBI boss James Comey
0000060	Dems should blame Hillary, not Comey, for the ‘October surprise’
0000061	Rolling Stone editor admits rape story was botched
0000062	Breitbart editor: We defended Roy Moore to protect Donald Trump
0000063	FBI: Man arrested after attempting to detonate vehicle bomb outside downtown OKC bank
0000064	Donate to Ace of Spades HQ!
0000065	Michigan State Police say viral Facebook human trafficking video is not accurate
0000066	Withdraw your ethnocentric comment against Northerners – Alhaji Sani to Akpaloo
0000067	Sebastian Gorka expects a White House shake-up before Christmas. Here's our Q&A.
0000068	Trump Tweets: 'We Will Be Taking Strong Action Today' on SW Border
0000069	Donald Hits Back at Father of Fallen Muslim Soldier After His Impassioned DNC Speech Against Trump
0000070	A Yom Kippur challenge for liberal Jews
0000071	Donald Trump Named Presumptive GOP Nominee As Ted Cruz Drops Out of Presidential Race
0000072	Trump reportedly tried to privately ‘rationalize’ KKK membership in wake of Charlottesville
0000073	Hillary Clinton Officially Joins the 2016 Presidential Race
0000074	Ex-Secret Service officer behind Clinton tell-all planning defamation suit
0000075	Textbook' Racism: Donald Trump's Attacks on Federal Judge Unite GOP from Ryan to Schwarzenegger; Clinton Warns Women Judges Could Be Next
0000076	Trump blasts FBI leadership but says he's loyal to police
0000077	Susan Rice is a Gaffe Machine, but Blames the Hate on Racist and Sexist Republicans
0000078	Enter The Stanley 65-Piece Homeowner’s Tool Kit Giveaway
0000079	Enter For A Chance To Win 6 Months of Dollar Shave Club
0000080	Eminem lashes out at President Trump in furious rap
0000081	North Korea THREAT: Trump will continue to apply MAXIMUM PRESSURE on Kim Jong-un
0000082	Brown: The oxymoron called social justice
0000083	Donald Trump Says He Supports a Database and ID Cards to Track Muslims in the U.S.: 'We're Going to Have to Look at the Mosques'
0000084	Recycling Obama's Failed Policies Won't Boost Democrats
0000085	Donald Trump just ceded the presidency to Hillary Clinton
0000086	Site pays $5K to anyone who calls Bill Clinton a ‘rapist’ at rallies
0000087	Trumpocalypse: The End Game
0000088	Trump uncharacteristically criticizes Putin after reports of chemical attack in Syria
0000089	Democrats' DACA Dishonesty
0000090	$166,000 Left in Plane’s Overheard Compartment, Returned To Owners
0000091	Cuomo Threatens Suit Against the Feds On Immigration Battle
0000092	The Absurdities Mount
0000093	Definition of freedom
0000094	Harvey Shows America's Colorblind Spirit -- Bad News for Race Hustlers
0000095	Conjugaison anglaise du verbe TO RESERVE
0000096	Trump teases impending 'strong action' on border security
0000097	Trump Falsely Claims Republican Robert Mueller Is A Democrat
0000098	Nigeria police personnel protest non-payment of salaries
0000099	Nicolle Wallace: Ex-White House officials admit Trump’s inner circle is ‘flying blind’ where Mueller investigation is going
0000100	Trump and Moore: Birther buddies reunite to promote more lies
0000101	Fox News pundits debate whether Hillary Clinton should go to jail for Trump’s Russia scandal
0000102	Trump vs. Psychiatrists: Who's Crazier?
0000103	Trump on Twitter (April 1): DACA, NAFTA
0000104	Don Lemon: Trump Unhinged, Embarrassing, Petty, "Opened Race Wound From Charlottesville"
0000105	Hillary Clinton to Colbert: Putin "Had A Personal Grudge Against Me," "Partly Because I'm A Woman"
0000106	The New York Times abandoned its integrity just to bash Donald Trump
0000107	Hillary’s trying to make the election a referendum on political correctness
0000108	Trump’s debate incompetence a slap in the face to his supporters
0000109	Hillary failed as secretary of state — why would president be any different?
0000110	The NRA CEO's Response To Las Vegas Shooting Was Incredibly Tone-Deaf
0000111	The harassment trail - In 2015, Nation journalist John Ngirachu was arrested
0000112	"Heartless" fraudsters conned an elderly woman out of thousands of pounds hours after she was told she was going to die of cancer.
0000113	NASCAR Team Owners Vow to Fire Drivers Who Protest During National Anthem
0000114	The Economist: Trump’s Creating More MS-13 Gangmembers
0000115	COMMENTARY: More questions surrounding the Las Vegas Strip shooting
0000116	Trump Attributes Iran Terror Attack to ‘The Evil They Promote’
0000117	US General Warns Growing ISIS Presence a Major Security Problem in Caribbean
0000118	What issues divide the nation during the civil war?
0000119	NATO Agrees to Formally Joint Anti-ISIS Coalition
0000120	CNN's Don Lemon: Has Trump Sparked a "Whitelash" Against NFL Players And Supporters
0000121	Michigan State Police say viral Facebook human trafficking video is not accurate
0000122	Mattis: US Army Must Be Ready to ‘Confront’ North Korea
0000123	Video of officer punching woman has some crying foul in York city
0000124	NYT Editor Claims To Be Former Antifa Member, Brags About Anti-Trump Bias
0000125	Las Vegas Shooting: 50 Dead, 200 Wounded at Jason Aldean Concert
0000126	GOD IS GOOD!! Trump Just GAVE THE ORDER: No More Obama’s Transgender Bathrooms!
0000127	Councilor Mike Gaffney Quotes Voltaire About Free Speech, Failed Reporter Buttmunch Billy Shaner Says He Was Quoting A White Supremacist
0000128	Gutterpube Who Says “F All Them Crackas” Who Got Shot In Vegas, Is A Deadbeat Dad Coke Dealer Who Claims He Donated Drug Proceeds To PR Relief
0000129	Junkbunny Who Tried Buying Xanax Off Turtleboy Tried Suing EMT After She Came After Him On An Ambulance Ride And Has Declared War On Turtle Riders
0000130	Shoutout To This Father-Son Duo Who Avenged Their Daughter/Sister’s Death By Kidnapping And Kicking The Shit Out Of Her Heroin Hookup Until He Named Names
0000131	Stinkin’ Dinkadoodles! Gupta Patel Slams New Bill Passed To Teach Your Kids Anal Sex In Public School And He’s Fired Up Like A Samosa Fresh Out The Pan!
0000132	Turns Out The Uxbridge Fresh Prince Of Bad Hair Is 19, Still In High School, And Put Uxbridge High On Lockdown After A Gun Incident On Snapchat
0000133	Why Did Mayor Petty Hire Well Known Communist Dan Margolis To Run His Campaign Smear Team And Serve On The Library Board?
0000134	Stranger By The Day=> Hotel Maintenance Worker Dodged Stephen Paddock’s Bullets BEFORE Shooting Vegas Crowd
0000135	Steve Bannon Gives Classic “Honey Badger” Response To Eminem Freestyle Diss
0000136	RINO Corker Wades Into Bitter Trump-McCain Feud With ‘Big Hug’
0000137	Revealed: Las Vegas Shooter Wired $100,000 To Philippines Last Week
0000138	Reporter: General Kelly Pulled Off Air Force One – May Resign by End of Week
0000139	One Year Ago Today: Trump Tells Hillary “You’d Be in Jail!”… It’s Time to Fulfill That Promise, Mr. President
0000140	6 Promising New Medical Treatments for Cancer
0000141	STUNNING: African Births Will Outnumber French Births in France in 5 Years
0000142	MO Democrat Chappelle-Nadal Compares Trump to Hitler and Hopes for His Assassination …Then Plays Race Card
0000143	Neither Islam Nor Liberalism Nor Anything Else Is a “Threat” to Christianity
0000144	The Truth About Christopher Columbus
